Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
,,,,,,,,
#,Club,Pays,22/23,23/24,24/25,25/26,26/27,Points
1,Bayern,,27.000,28.000,27.250,39.250,,121.500
2,Arsenal,,17.000,22.000,36.000,43.000,,118.000
3,Real Madrid,,29.000,34.000,24.500,27.000,,114.500
4,PSG,,19.000,23.000,33.500,36.500,,112.000
4,PSG,,19.000,23.000,33.500,36.500,,112.000
4,PSG,,19.000,23.000,33.500,36.500,,112.000
5,Inter,,29.000,20.000,40.250,19.750,,109.000
6,Man City,,33.000,28.000,14.750,22.750,,98.500
7,Barcelone,,9.000,23.000,36.250,30.000,,98.250
8,Liverpool,,19.000,20.000,29.500,28.500,,97.000
9,Leverkusen,,19.000,29.000,23.250,19.750,,91.000
10,Dortmund,,18.000,29.000,27.750,16.000,,90.750
11,Atlético,,8.000,24.000,26.500,27.250,,85.750
12,Aston Villa,,,17.000,30.250,33.750,,81.000
13,Tottenham,,18.000,-,32.250,26.750,,77.000
14,Fiorentina,,20.000,22.000,20.000,14.250,,76.250
15,AS Roma,,22.000,21.000,14.500,17.250,,74.750
16,Chelsea,,21.000,-,30.000,23.250,,74.250
16,Chelsea,,21.000,-,30.000,23.250,,74.250
17,FC Porto,,18.000,19.000,9.750,24.000,,70.750
17,FC Porto,,18.000,19.000,9.750,24.000,,70.750
18,Benfica,,25.000,14.000,18.750,12.250,,70.000
19,Club Bruges,,17.000,21.000,15.750,14.500,,68.250
20,Atalanta,,-,28.000,21.000,19.000,,68.000
21,Sporting,,14.000,12.000,14.500,27.500,,68.000
22,Real Betis,,16.000,6.000,19.250,21.750,,63.000
23,PSV,,11.000,17.000,21.250,12.000,,61.250
23,PSV,,11.000,17.000,21.250,12.000,,61.250
24,AC Milan,,24.000,16.000,19.000,-,,59.000
25,Manchester Utd.,,19.000,7.000,32.500,-,,58.500
